customer_id,sku_id,route,time_period,base_demand,promotion_flag,discount_percentage,sentiment_score,review_volume,sustainable_sku_flag,regulation_impact_score,eco_preference_index
CUST_1,SKU_1,BLR-SIN,31-05-2025,44,0,13,0.1,172,1,-0.09,0.71
CUST_1,SKU_1,BLR-SIN,30-06-2025,52,0,15,0.49,144,1,-0.05,0.54
CUST_1,SKU_1,BLR-SIN,31-07-2025,78,0,22,-0.5,167,1,0,0.89
CUST_1,SKU_1,BLR-SIN,31-08-2025,46,0,20,0.01,293,1,0.23,0.23
CUST_1,SKU_1,BLR-SIN,30-09-2025,67,0,2,0.54,26,1,0.03,0.28
CUST_1,SKU_1,BLR-SIN,31-10-2025,25,0,8,0.91,190,0,0.29,0.08
CUST_1,SKU_1,BLR-SIN,30-11-2025,51,1,2,-0.66,290,0,0.22,0.93
CUST_1,SKU_1,BLR-SIN,31-12-2025,65,0,14,0.98,136,0,0.24,0.74
CUST_1,SKU_1,MUM-DXB,31-01-2025,52,0,21,-0.28,179,1,0.21,0.87
CUST_1,SKU_1,MUM-DXB,28-02-2025,32,0,6,0,182,0,-0.16,0.4
CUST_1,SKU_1,MUM-DXB,31-03-2025,33,1,22,-0.94,297,0,-0.18,0.47
CUST_1,SKU_1,MUM-DXB,30-04-2025,82,1,21,0.18,189,0,-0.05,0.54
CUST_1,SKU_1,MUM-DXB,31-05-2025,27,1,11,0.93,112,0,-0.17,0.53
CUST_1,SKU_1,MUM-DXB,30-06-2025,66,0,7,0.45,278,1,0.16,0.04
CUST_1,SKU_1,MUM-DXB,31-07-2025,82,0,25,-0.84,238,0,-0.16,0.43
CUST_1,SKU_1,MUM-DXB,31-08-2025,31,0,25,0.83,248,0,0.07,0.71
CUST_1,SKU_1,MUM-DXB,30-09-2025,20,1,6,0.31,78,1,0.01,0.25
CUST_1,SKU_1,MUM-DXB,31-10-2025,35,0,21,-0.97,229,0,-0.18,0.86
CUST_1,SKU_1,MUM-DXB,30-11-2025,88,0,25,0.53,48,0,0.03,0.65
CUST_1,SKU_1,MUM-DXB,31-12-2025,29,1,3,-0.91,232,0,0.27,0.5
CUST_1,SKU_1,DEL-FRA,31-01-2025,88,0,15,-0.86,256,1,0.23,0.64
CUST_1,SKU_1,DEL-FRA,28-02-2025,43,0,2,0.29,188,1,0.11,0.82
CUST_1,SKU_1,DEL-FRA,31-03-2025,59,1,11,-0.45,21,0,-0.19,0.09
CUST_1,SKU_1,DEL-FRA,30-04-2025,54,0,25,-0.36,99,0,-0.07,0.5
CUST_1,SKU_1,DEL-FRA,31-05-2025,77,0,12,0.87,226,1,-0.06,0.18
CUST_1,SKU_1,DEL-FRA,30-06-2025,92,0,2,0.98,45,0,0.19,0.34
CUST_1,SKU_1,DEL-FRA,31-07-2025,81,0,11,-0.14,22,1,-0.08,0.38
CUST_1,SKU_1,DEL-FRA,31-08-2025,81,0,24,-0.36,196,0,-0.17,0.96
CUST_1,SKU_1,DEL-FRA,30-09-2025,38,0,6,0.91,232,1,0.09,0.63
CUST_1,SKU_1,DEL-FRA,31-10-2025,88,0,24,0.11,62,1,0.19,0.09
CUST_1,SKU_1,DEL-FRA,30-11-2025,61,1,13,0.1,142,1,0.07,0.71
CUST_1,SKU_1,DEL-FRA,31-12-2025,95,0,25,0.24,262,1,0.01,0.22
CUST_1,SKU_2,DEL-MUM,31-01-2025,28,1,25,-0.71,38,0,0.29,0.37
CUST_1,SKU_2,DEL-MUM,28-02-2025,84,1,16,0.89,226,0,-0.02,0.71
CUST_1,SKU_2,DEL-MUM,31-03-2025,38,1,21,0.41,211,1,-0.14,0.49
CUST_1,SKU_2,DEL-MUM,30-04-2025,32,0,29,-0.89,10,1,-0.08,0.4
CUST_1,SKU_2,DEL-MUM,31-05-2025,44,1,5,-0.13,67,0,0.28,0.04
CUST_1,SKU_2,DEL-MUM,30-06-2025,40,0,20,0.99,238,0,0.15,0.08
CUST_1,SKU_2,DEL-MUM,31-07-2025,66,0,13,-0.41,10,1,0.09,0.9
CUST_1,SKU_2,DEL-MUM,31-08-2025,76,1,9,0.9,165,0,-0.12,0.65
CUST_1,SKU_2,DEL-MUM,30-09-2025,27,0,17,-0.47,50,0,0.03,0.03
CUST_1,SKU_2,DEL-MUM,31-10-2025,92,0,19,0.21,249,0,0.26,0.82
CUST_1,SKU_2,DEL-MUM,30-11-2025,88,0,1,-0.83,295,1,-0.18,0.03
CUST_1,SKU_2,DEL-MUM,31-12-2025,52,1,17,0.97,186,0,0.17,0.39
CUST_1,SKU_2,DEL-BLR,31-01-2025,78,1,12,-0.87,114,0,-0.06,0.06
CUST_1,SKU_2,DEL-BLR,28-02-2025,25,0,4,1,268,0,0.18,0.94
CUST_1,SKU_2,DEL-BLR,31-03-2025,93,0,20,-0.1,10,1,0.1,0.23
CUST_1,SKU_2,DEL-BLR,30-04-2025,51,0,7,-0.96,259,0,0.19,0.52
CUST_1,SKU_2,DEL-BLR,31-05-2025,31,1,11,0.12,231,1,0.09,0.48
CUST_1,SKU_2,DEL-BLR,30-06-2025,42,1,20,0.28,84,0,-0.13,0.01
CUST_1,SKU_2,DEL-BLR,31-07-2025,57,0,17,-0.22,258,0,0.19,0.4
CUST_1,SKU_2,DEL-BLR,31-08-2025,70,0,28,-0.71,193,1,0.18,0.07
CUST_1,SKU_2,DEL-BLR,30-09-2025,88,1,20,-0.31,135,1,-0.08,0.08
CUST_1,SKU_2,DEL-BLR,31-10-2025,42,0,10,-0.72,17,0,0.15,0.41
CUST_1,SKU_2,DEL-BLR,30-11-2025,86,0,17,0.2,60,0,-0.12,0.28
CUST_1,SKU_2,DEL-BLR,31-12-2025,80,0,5,-0.76,242,0,0.25,0.13
CUST_1,SKU_2,BLR-SIN,31-01-2025,64,0,25,0.6,130,1,0.06,0.16
CUST_1,SKU_2,BLR-SIN,28-02-2025,67,0,25,0.74,17,1,-0.11,0.21
CUST_1,SKU_2,BLR-SIN,31-03-2025,75,0,25,0.52,87,0,0.17,0.04
CUST_1,SKU_2,BLR-SIN,30-04-2025,75,0,2,0.79,247,1,-0.18,0.87
CUST_1,SKU_2,BLR-SIN,31-05-2025,57,0,14,-0.79,128,0,-0.19,0.32
CUST_1,SKU_2,BLR-SIN,30-06-2025,63,0,12,0.19,77,0,0.12,0.48
CUST_1,SKU_2,BLR-SIN,31-07-2025,53,0,7,-0.14,92,0,-0.03,0.9
CUST_1,SKU_2,BLR-SIN,31-08-2025,83,0,23,0,238,1,-0.2,0.23
CUST_1,SKU_2,BLR-SIN,30-09-2025,89,0,3,0.7,104,0,0.22,0.05
CUST_1,SKU_2,BLR-SIN,31-10-2025,50,0,3,0.99,15,0,0.28,0.87
CUST_1,SKU_2,BLR-SIN,30-11-2025,25,1,29,-0.66,71,1,0.08,0.57
CUST_1,SKU_2,BLR-SIN,31-12-2025,70,1,4,-0.63,127,1,-0.1,0.74
CUST_1,SKU_2,MUM-DXB,31-01-2025,31,0,25,0.54,47,0,-0.12,0.48
CUST_1,SKU_2,MUM-DXB,28-02-2025,22,0,17,-0.09,270,0,0.29,0.32
CUST_1,SKU_2,MUM-DXB,31-03-2025,21,0,4,-0.99,274,0,0.04,0.41
CUST_1,SKU_2,MUM-DXB,30-04-2025,68,1,27,0.93,146,0,-0.01,0.93
CUST_1,SKU_2,MUM-DXB,31-05-2025,83,0,28,-0.72,238,0,-0.12,0.16
CUST_1,SKU_2,MUM-DXB,30-06-2025,24,0,13,0.05,141,0,0.09,0.68
CUST_1,SKU_2,MUM-DXB,31-07-2025,91,0,13,0.8,134,0,0.17,0.5
CUST_1,SKU_2,MUM-DXB,31-08-2025,44,0,14,-0.23,113,0,0.07,0.43
CUST_1,SKU_2,MUM-DXB,30-09-2025,86,0,7,0.39,24,1,0.05,0.74
CUST_1,SKU_2,MUM-DXB,31-10-2025,46,1,5,0.5,298,0,0.08,0.76
CUST_1,SKU_2,MUM-DXB,30-11-2025,93,0,5,0.07,237,0,0.1,0.5
CUST_1,SKU_2,MUM-DXB,31-12-2025,27,0,14,-0.18,182,1,0.12,0.69
CUST_1,SKU_2,DEL-FRA,31-01-2025,55,1,26,-0.31,20,1,-0.03,0.23
CUST_1,SKU_2,DEL-FRA,28-02-2025,42,0,13,0.23,227,0,0.05,0.61
CUST_1,SKU_2,DEL-FRA,31-03-2025,79,0,11,0.13,142,1,0.15,0.15
CUST_1,SKU_2,DEL-FRA,30-04-2025,50,0,21,-0.85,223,1,-0.14,0.24
CUST_1,SKU_2,DEL-FRA,31-05-2025,55,0,24,-0.34,64,0,0.1,0.38
CUST_1,SKU_2,DEL-FRA,30-06-2025,72,0,19,0.58,163,0,0,0.54
CUST_1,SKU_2,DEL-FRA,31-07-2025,94,1,6,-0.31,26,0,-0.18,0.91
CUST_1,SKU_2,DEL-FRA,31-08-2025,73,0,6,-0.67,170,0,0.09,0.63
CUST_1,SKU_2,DEL-FRA,30-09-2025,47,0,16,-0.64,93,0,0.08,0.86
CUST_1,SKU_2,DEL-FRA,31-10-2025,82,1,16,-0.4,233,0,0.17,0.21
CUST_1,SKU_2,DEL-FRA,30-11-2025,81,0,28,0.25,295,1,0.09,0.29
CUST_1,SKU_2,DEL-FRA,31-12-2025,66,0,21,-0.12,123,0,0.18,0.1
CUST_1,SKU_3,DEL-MUM,31-01-2025,27,1,6,0.51,275,0,0.12,0.41
CUST_1,SKU_3,DEL-MUM,28-02-2025,74,0,17,0.73,17,0,-0.09,0.23
CUST_1,SKU_3,DEL-MUM,31-03-2025,78,0,7,-0.79,248,0,0.24,0.56
CUST_1,SKU_3,DEL-MUM,30-04-2025,27,0,23,0.44,129,1,0.28,0.94
CUST_1,SKU_3,DEL-MUM,31-05-2025,73,0,22,0.79,16,1,0.17,0.85
CUST_1,SKU_3,DEL-MUM,30-06-2025,38,0,27,0.41,206,0,-0.07,0.38
CUST_1,SKU_3,DEL-MUM,31-07-2025,31,1,4,-0.18,231,0,0.23,0.22
CUST_1,SKU_3,DEL-MUM,31-08-2025,43,0,29,-0.03,224,1,0.01,0.02
CUST_1,SKU_3,DEL-MUM,30-09-2025,33,1,1,0.27,210,0,0.22,0.98
CUST_1,SKU_3,DEL-MUM,31-10-2025,77,1,1,-0.46,84,1,0.06,0.82
CUST_1,SKU_3,DEL-MUM,30-11-2025,60,0,16,-0.19,85,0,-0.19,0.14
CUST_1,SKU_3,DEL-MUM,31-12-2025,76,0,26,0.19,277,1,0.05,0.57
CUST_1,SKU_3,DEL-BLR,31-01-2025,36,0,27,0.54,55,0,-0.12,0.74
CUST_1,SKU_3,DEL-BLR,28-02-2025,70,0,18,-0.51,158,1,0.02,0.92
CUST_1,SKU_3,DEL-BLR,31-03-2025,78,0,2,0.9,64,1,0.27,0.73
CUST_1,SKU_3,DEL-BLR,30-04-2025,52,0,14,-0.48,236,1,0.22,0.96
CUST_1,SKU_3,DEL-BLR,31-05-2025,92,1,20,-0.31,26,0,0.15,0.6
CUST_1,SKU_3,DEL-BLR,30-06-2025,44,0,2,-0.84,117,1,-0.06,0.59
CUST_1,SKU_3,DEL-BLR,31-07-2025,38,0,26,0.83,26,1,0.02,0.19
CUST_1,SKU_3,DEL-BLR,31-08-2025,81,1,18,0.46,158,1,0.16,0.64
CUST_1,SKU_3,DEL-BLR,30-09-2025,91,0,24,0.29,68,1,0.27,0.04
CUST_1,SKU_3,DEL-BLR,31-10-2025,29,0,16,-0.64,95,1,-0.18,0.7
CUST_1,SKU_3,DEL-BLR,30-11-2025,28,0,7,0.94,224,1,0.17,0.05
CUST_1,SKU_3,DEL-BLR,31-12-2025,37,0,6,-0.93,168,0,0.08,0.48
CUST_1,SKU_3,BLR-SIN,31-01-2025,22,0,7,-0.12,48,0,0.07,0.79
CUST_1,SKU_3,BLR-SIN,28-02-2025,44,1,0,0.77,117,0,-0.19,0.87
CUST_1,SKU_3,BLR-SIN,31-03-2025,49,0,12,0.06,105,1,0.3,0.35
CUST_1,SKU_3,BLR-SIN,30-04-2025,81,0,29,-0.04,194,0,-0.06,0.4
CUST_1,SKU_3,BLR-SIN,31-05-2025,49,0,6,0.05,74,0,-0.14,0.35
CUST_1,SKU_3,BLR-SIN,30-06-2025,49,1,17,-0.53,162,0,0.26,0.05
CUST_1,SKU_3,BLR-SIN,31-07-2025,34,0,23,-0.75,196,1,0.19,0.09
CUST_1,SKU_3,BLR-SIN,31-08-2025,89,1,13,0.2,71,1,-0.12,0.99
CUST_1,SKU_3,BLR-SIN,30-09-2025,78,0,28,0.3,252,0,-0.08,0.18
CUST_1,SKU_3,BLR-SIN,31-10-2025,60,0,2,0.65,14,0,0.28,0.88
CUST_1,SKU_3,BLR-SIN,30-11-2025,39,1,28,-0.48,187,0,0.3,0.9
CUST_1,SKU_3,BLR-SIN,31-12-2025,32,0,14,-0.93,77,0,-0.15,0.88
CUST_1,SKU_3,MUM-DXB,31-01-2025,86,0,28,0.78,235,1,0.2,0.66
CUST_1,SKU_3,MUM-DXB,28-02-2025,24,1,1,-0.18,47,0,0.16,0.5
CUST_1,SKU_3,MUM-DXB,31-03-2025,89,1,15,0.37,90,0,0.24,0.52
CUST_1,SKU_3,MUM-DXB,30-04-2025,77,0,7,0.36,246,1,0.06,0.87
CUST_1,SKU_3,MUM-DXB,31-05-2025,78,1,8,-0.33,54,1,0.14,0.62
CUST_1,SKU_3,MUM-DXB,30-06-2025,57,0,4,0.76,258,0,0.21,0.13
CUST_1,SKU_3,MUM-DXB,31-07-2025,72,1,17,0.64,215,1,-0.07,0.19
CUST_1,SKU_3,MUM-DXB,31-08-2025,32,0,16,0.12,232,0,-0.2,0.82
CUST_1,SKU_3,MUM-DXB,30-09-2025,89,0,6,0.08,233,1,0,0.18
CUST_1,SKU_3,MUM-DXB,31-10-2025,56,0,3,-0.65,251,1,-0.12,0.77
CUST_1,SKU_3,MUM-DXB,30-11-2025,36,0,0,-0.88,129,0,0.24,0.97
CUST_1,SKU_3,MUM-DXB,31-12-2025,48,0,26,-0.74,16,0,0.21,0.37
CUST_1,SKU_3,DEL-FRA,31-01-2025,51,1,25,-1,235,1,0.01,0.45
CUST_1,SKU_3,DEL-FRA,28-02-2025,58,0,28,0.39,297,0,0.14,0.65
CUST_1,SKU_3,DEL-FRA,31-03-2025,46,1,29,-0.7,101,1,0.25,0.86
CUST_1,SKU_3,DEL-FRA,30-04-2025,25,1,4,0.97,266,0,0.16,0.75
CUST_1,SKU_3,DEL-FRA,31-05-2025,54,0,24,0.43,283,1,0.04,0.97
CUST_1,SKU_3,DEL-FRA,30-06-2025,65,0,28,0.55,88,0,0.07,0.02
CUST_1,SKU_3,DEL-FRA,31-07-2025,83,0,23,0.84,55,0,-0.2,0.6
CUST_1,SKU_3,DEL-FRA,31-08-2025,28,0,24,-0.68,223,0,-0.07,0.8
CUST_1,SKU_3,DEL-FRA,30-09-2025,30,1,16,-0.98,283,1,0,0.97
CUST_1,SKU_3,DEL-FRA,31-10-2025,57,0,12,0.51,111,1,0.16,0.75
CUST_1,SKU_3,DEL-FRA,30-11-2025,60,0,24,0.14,89,0,-0.09,0.35
CUST_1,SKU_3,DEL-FRA,31-12-2025,59,0,27,-0.86,234,0,-0.02,0.03
CUST_1,SKU_4,DEL-MUM,31-01-2025,45,0,1,0.95,99,1,0.2,0.2
CUST_1,SKU_4,DEL-MUM,28-02-2025,63,0,10,-0.75,132,0,0.27,0.05
CUST_1,SKU_4,DEL-MUM,31-03-2025,51,0,11,0.74,187,1,0.19,0.61
CUST_1,SKU_4,DEL-MUM,30-04-2025,26,0,15,0.1,31,0,0.12,0.53
CUST_1,SKU_4,DEL-MUM,31-05-2025,33,0,21,0.19,21,0,0.24,0.22
CUST_1,SKU_4,DEL-MUM,30-06-2025,74,0,12,-0.64,128,0,-0.18,0.16
CUST_1,SKU_4,DEL-MUM,31-07-2025,89,1,21,-0.34,68,1,-0.1,0.68
CUST_1,SKU_4,DEL-MUM,31-08-2025,73,0,0,0.68,222,1,0.17,0.43
CUST_1,SKU_4,DEL-MUM,30-09-2025,23,1,29,0.98,161,0,0.06,0.59
CUST_1,SKU_4,DEL-MUM,31-10-2025,85,0,3,-0.16,252,0,0.26,0.21
CUST_1,SKU_4,DEL-MUM,30-11-2025,37,0,14,-0.53,291,1,0.25,0.18
CUST_1,SKU_4,DEL-MUM,31-12-2025,63,0,1,-0.64,50,0,0.24,0.45
CUST_1,SKU_4,DEL-BLR,31-01-2025,21,0,16,-0.22,37,0,0.13,0.33
CUST_1,SKU_4,DEL-BLR,28-02-2025,59,0,3,0.94,296,0,-0.16,0.17
CUST_1,SKU_4,DEL-BLR,31-03-2025,93,0,11,0.66,266,0,0.09,0.95
CUST_1,SKU_4,DEL-BLR,30-04-2025,76,0,19,-0.24,116,1,0.13,0.47
CUST_1,SKU_4,DEL-BLR,31-05-2025,63,0,14,0.74,117,0,-0.18,0.99
CUST_1,SKU_4,DEL-BLR,30-06-2025,92,0,19,-0.9,10,0,0.03,0.93
CUST_1,SKU_4,DEL-BLR,31-07-2025,88,0,18,-0.92,285,1,0.28,0
CUST_1,SKU_4,DEL-BLR,31-08-2025,69,1,6,-0.09,187,0,0.07,0.13
CUST_1,SKU_4,DEL-BLR,30-09-2025,64,0,17,-0.6,17,1,-0.15,0.67
CUST_1,SKU_4,DEL-BLR,31-10-2025,24,1,14,0.39,128,1,0.14,0.5
CUST_1,SKU_4,DEL-BLR,30-11-2025,36,1,14,0.14,85,0,0.2,0.92
CUST_1,SKU_4,DEL-BLR,31-12-2025,20,0,15,0.65,78,0,-0.03,0.16
CUST_1,SKU_4,BLR-SIN,31-01-2025,83,0,8,0.73,98,1,0.19,0.57
CUST_1,SKU_4,BLR-SIN,28-02-2025,94,1,28,0.53,141,1,0.2,0.76
CUST_1,SKU_4,BLR-SIN,31-03-2025,42,0,10,-0.25,98,0,0.12,0.61
CUST_1,SKU_4,BLR-SIN,30-04-2025,34,0,27,0.1,233,0,-0.09,0.07
CUST_1,SKU_4,BLR-SIN,31-05-2025,91,0,9,0.52,274,0,0.23,0.52
CUST_1,SKU_4,BLR-SIN,30-06-2025,89,1,28,-0.32,21,0,0.06,0.25
CUST_1,SKU_4,BLR-SIN,31-07-2025,34,0,22,0.63,30,0,-0.2,0.65
CUST_1,SKU_4,BLR-SIN,31-08-2025,34,0,10,-0.24,286,0,-0.1,0.17
CUST_1,SKU_4,BLR-SIN,30-09-2025,87,0,19,0.34,166,1,0.07,0.31
CUST_1,SKU_4,BLR-SIN,31-10-2025,55,1,1,-0.45,141,1,0.06,0.12
CUST_1,SKU_4,BLR-SIN,30-11-2025,93,1,6,-0.41,250,0,-0.07,0.96
CUST_1,SKU_4,BLR-SIN,31-12-2025,87,0,21,0.1,182,1,0.28,0.6
CUST_1,SKU_4,MUM-DXB,31-01-2025,40,1,8,0.59,280,1,0.01,0.84
CUST_1,SKU_4,MUM-DXB,28-02-2025,91,1,16,-0.53,77,0,0.21,0.42
CUST_1,SKU_4,MUM-DXB,31-03-2025,93,1,18,0.25,251,0,-0.08,0.87
CUST_1,SKU_4,MUM-DXB,30-04-2025,52,0,16,-0.64,152,0,-0.1,0.64
CUST_1,SKU_4,MUM-DXB,31-05-2025,92,0,28,-0.88,267,0,0.1,0.68
CUST_1,SKU_4,MUM-DXB,30-06-2025,61,0,6,0.45,289,0,-0.15,0.72
CUST_1,SKU_4,MUM-DXB,31-07-2025,61,1,12,-0.84,241,1,0.1,0.4
CUST_1,SKU_4,MUM-DXB,31-08-2025,89,0,3,-0.12,139,1,-0.17,0.64
CUST_1,SKU_4,MUM-DXB,30-09-2025,27,1,17,0.36,67,0,0.13,0.99
CUST_1,SKU_4,MUM-DXB,31-10-2025,21,0,2,0.46,295,0,0.09,0.09
CUST_1,SKU_4,MUM-DXB,30-11-2025,88,0,14,-0.6,217,0,0.01,0.82
CUST_1,SKU_4,MUM-DXB,31-12-2025,31,0,11,0.96,12,1,-0.08,0.4
CUST_1,SKU_4,DEL-FRA,31-01-2025,24,1,23,0.08,130,1,-0.15,0.26
CUST_1,SKU_4,DEL-FRA,28-02-2025,91,1,0,0.22,47,0,-0.17,0.12
CUST_1,SKU_4,DEL-FRA,31-03-2025,42,0,1,-0.24,267,1,0.08,0.31
CUST_1,SKU_4,DEL-FRA,30-04-2025,71,0,25,0.2,271,1,0.05,0.99
CUST_1,SKU_4,DEL-FRA,31-05-2025,31,1,9,0.08,167,1,0.23,0.81
CUST_1,SKU_4,DEL-FRA,30-06-2025,99,0,13,-0.84,172,0,0.15,0.35
CUST_1,SKU_4,DEL-FRA,31-07-2025,39,0,9,0.64,290,0,-0.04,0.61
CUST_1,SKU_4,DEL-FRA,31-08-2025,84,0,21,0.66,34,1,-0.14,0.48
CUST_1,SKU_4,DEL-FRA,30-09-2025,87,0,3,-0.84,21,1,0.02,0.31
CUST_1,SKU_4,DEL-FRA,31-10-2025,97,1,28,-0.79,169,0,0.11,0.65
CUST_1,SKU_4,DEL-FRA,30-11-2025,50,0,18,-0.62,139,0,0.18,0.62
CUST_1,SKU_4,DEL-FRA,31-12-2025,98,1,18,-0.66,158,0,-0.05,0.1
CUST_1,SKU_5,DEL-MUM,31-01-2025,99,0,0,0.02,112,0,-0.08,0.22
CUST_1,SKU_5,DEL-MUM,28-02-2025,71,0,5,-0.15,72,1,0,0.65
CUST_1,SKU_5,DEL-MUM,31-03-2025,26,0,21,0.66,238,0,0.28,0.25
CUST_1,SKU_5,DEL-MUM,30-04-2025,81,0,21,0.58,158,1,-0.13,0.54
CUST_1,SKU_5,DEL-MUM,31-05-2025,84,0,25,-0.52,222,0,-0.17,0.04
CUST_1,SKU_5,DEL-MUM,30-06-2025,79,0,20,0.69,192,0,-0.14,0.86
CUST_1,SKU_5,DEL-MUM,31-07-2025,71,1,9,0.57,122,1,0.19,0.32
CUST_1,SKU_5,DEL-MUM,31-08-2025,20,1,15,-0.49,19,1,-0.07,0.78
CUST_1,SKU_5,DEL-MUM,30-09-2025,47,0,1,-0.23,223,1,0.11,0.07
CUST_1,SKU_5,DEL-MUM,31-10-2025,64,0,11,0.02,110,0,-0.18,0.75
CUST_1,SKU_5,DEL-MUM,30-11-2025,20,0,23,-0.79,26,1,0.17,0.35
CUST_1,SKU_5,DEL-MUM,31-12-2025,30,1,18,0.32,37,0,0.01,0.55
CUST_1,SKU_5,DEL-BLR,31-01-2025,27,0,5,-0.83,229,1,0.19,0.23
CUST_1,SKU_5,DEL-BLR,28-02-2025,92,0,17,-0.98,87,0,0.28,0.48
CUST_1,SKU_5,DEL-BLR,31-03-2025,29,1,11,-0.05,267,1,0.09,0.75
CUST_1,SKU_5,DEL-BLR,30-04-2025,51,0,1,-0.74,280,0,0.1,0.1
CUST_1,SKU_5,DEL-BLR,31-05-2025,78,0,25,0.23,287,0,0.26,0.68
CUST_1,SKU_5,DEL-BLR,30-06-2025,70,1,23,0.98,131,1,0.23,0.85
CUST_1,SKU_5,DEL-BLR,31-07-2025,66,0,12,-0.56,135,1,0.16,0.78
CUST_1,SKU_5,DEL-BLR,31-08-2025,94,0,21,0.97,31,0,0.16,0.11
CUST_1,SKU_5,DEL-BLR,30-09-2025,98,0,17,-0.57,97,0,0.01,0.76
CUST_1,SKU_5,DEL-BLR,31-10-2025,75,0,21,0.13,39,1,0.12,0.76
CUST_1,SKU_5,DEL-BLR,30-11-2025,27,0,15,0.62,270,1,-0.06,0.19
CUST_1,SKU_5,DEL-BLR,31-12-2025,83,1,10,-0.38,240,1,0.14,0.38
CUST_1,SKU_5,BLR-SIN,31-01-2025,28,0,21,0.7,63,1,-0.19,0.75
CUST_1,SKU_5,BLR-SIN,28-02-2025,72,0,10,0.51,232,0,0.24,1
CUST_1,SKU_5,BLR-SIN,31-03-2025,23,0,3,0.44,33,0,-0.13,0.66
CUST_1,SKU_5,BLR-SIN,30-04-2025,73,0,20,-0.94,269,0,-0.01,0.4
CUST_1,SKU_5,BLR-SIN,31-05-2025,90,0,13,0.45,238,0,0.08,0.56
CUST_1,SKU_5,BLR-SIN,30-06-2025,43,0,17,0.2,197,1,0.05,0.08
CUST_1,SKU_5,BLR-SIN,31-07-2025,41,0,11,0.57,126,1,0.06,0.44
CUST_1,SKU_5,BLR-SIN,31-08-2025,74,1,0,-0.82,125,0,0.2,0.77
CUST_1,SKU_5,BLR-SIN,30-09-2025,76,1,12,-0.65,207,1,0.19,0.12
CUST_1,SKU_5,BLR-SIN,31-10-2025,89,1,27,-0.23,146,1,-0.1,0.57
CUST_1,SKU_5,BLR-SIN,30-11-2025,29,0,12,0.4,263,0,0.15,0.93
CUST_1,SKU_5,BLR-SIN,31-12-2025,70,1,9,0.71,78,1,-0.11,0.8
CUST_1,SKU_5,MUM-DXB,31-01-2025,93,1,3,-0.73,269,0,0.25,0.91
CUST_1,SKU_5,MUM-DXB,28-02-2025,43,1,5,-0.89,183,1,-0.13,0.75
